run_name,encoder,feature,model_family,fold_id,split,strategy,n_windows,n_stress,n_nonstress,threshold,n_fallback_subjects,auc,avg_precision,balanced_accuracy,sensitivity,specificity,mcc
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,1,train,population_norm,2059,1519,540,0.5499999999999999,0,0.988490234803599,0.9959164896102843,0.8839282666471606,0.771560236998025,0.9962962962962963,0.6822604036287878
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,1,val,population_norm,498,361,137,0.5499999999999999,0,0.680267707301292,0.8360191026712621,0.678245748832319,0.6703601108033241,0.6861313868613139,0.3217739110051684
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,1,test,population_norm,654,489,165,0.5499999999999999,0,0.6623164156906488,0.8549250328716664,0.6344673731176799,0.6871165644171779,0.5818181818181818,0.24055596640694774
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,1,test,subject_norm,654,489,165,0.5499999999999999,0,0.6360661833054472,0.8358984142658008,0.5823015430377393,0.7464212678936605,0.41818181818181815,0.15674917286862028
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,2,train,population_norm,2052,1506,546,0.4499999999999999,0,0.8353387427092607,0.9325195487093387,0.7078718094654349,0.44687915006640105,0.9688644688644689,0.38888509700104135
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,2,val,population_norm,520,383,137,0.4499999999999999,0,0.6557717596386576,0.8491953452093237,0.6342836995673801,0.370757180156658,0.8978102189781022,0.2581665510872643
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,2,test,population_norm,639,480,159,0.4499999999999999,0,0.6193396226415093,0.8406954324891293,0.5693592767295598,0.6104166666666667,0.5283018867924528,0.12135150797333635
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,2,test,subject_norm,639,480,159,0.44999999999999996,0,0.6993972746331236,0.8705152885608373,0.6224646226415094,0.7229166666666667,0.5220125786163522,0.2238529210558826
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,3,train,population_norm,2020,1489,531,0.15,0,0.9698378188321387,0.9890049599404926,0.8087266444826404,0.9865681665547347,0.6308851224105462,0.7141302375646988
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,3,val,population_norm,550,405,145,0.15,0,0.697471264367816,0.871814830486941,0.6714346530438484,0.6049382716049383,0.7379310344827587,0.3022673738255374
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,3,test,population_norm,641,475,166,0.15,0,0.6816106531388714,0.8507011540366968,0.5873303741280913,0.8252631578947368,0.3493975903614458,0.18471476285558883
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,3,test,subject_norm,641,475,166,0.15,0,0.6738871274571971,0.8448646446354817,0.5420228281547241,0.9936842105263158,0.09036144578313253,0.22286190878492057
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,4,train,population_norm,2093,1554,539,0.35,0,0.9632046570822081,0.9869400653557419,0.8839149910578481,0.8346203346203346,0.9332096474953617,0.6981730574736361
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,4,val,population_norm,465,346,119,0.35,0,0.7294166221401855,0.8705571532414845,0.707898188177005,0.6763005780346821,0.7394957983193278,0.36648338949670467
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,4,test,population_norm,653,469,184,0.35,0,0.6222652266617226,0.8086128281062821,0.5792331046630204,0.511727078891258,0.6467391304347826,0.1428869152629441
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,4,test,subject_norm,653,469,184,0.35,0,0.6994066932418652,0.849258503092508,0.6203995550199314,0.9147121535181236,0.32608695652173914,0.3008067965856524
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,5,train,population_norm,2110,1565,545,0.65,0,0.9982987953219802,0.9994060185922229,0.8907348242811501,0.7814696485623003,1.0,0.6929350012600022
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,5,val,population_norm,477,348,129,0.65,0,0.6764011405150138,0.8398778239058398,0.6579123229083133,0.6724137931034483,0.6434108527131783,0.28491700216310756
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,5,test,population_norm,624,456,168,0.65,0,0.605654761904762,0.8046357741864787,0.5618734335839599,0.40350877192982454,0.7202380952380952,0.11367605932700343
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,5,test,subject_norm,624,456,168,0.65,0,0.563139619883041,0.7799071940988074,0.5288220551378446,0.3969298245614035,0.6607142857142857,0.05263927167247306
run_cpu_families,dinov2,motion_prev_depth,rnn_attn,1,train,population_norm,2059,1519,540,0.25,0,0.8834089191232048,0.9531294567760662,0.7598993002218808,0.7235023041474654,0.7962962962962963,0.46439577440536745
run_cpu_families,dinov2,motion_prev_depth,rnn_attn,1,val,population_norm,498,361,137,0.25,0,0.706452069474493,0.8466025356189979,0.668944739875043,0.7174515235457064,0.6204379562043796,0.31159290264034556
run_cpu_families,dinov2,motion_prev_depth,rnn_attn,1,test,population_norm,654,489,165,0.25,0,0.6427216954824316,0.8012267638769544,0.6303773935675776,0.6789366053169734,0.5818181818181818,0.23253923802392543
run_cpu_families,dinov2,motion_prev_depth,rnn_attn,1,test,subject_norm,654,489,165,0.25,0,0.6495011464336619,0.8333996518525985,0.6011526306004834,0.523517382413088,0.6787878787878788,0.17600086072055512
run_cpu_families,dinov2,motion_prev_depth,rnn_attn,2,train,population_norm,2052,1506,546,0.3999999999999999,0,0.8919474726247635,0.9569431790079987,0.7139500605636063,0.44621513944223107,0.9816849816849816,0.40141975894117443
run_cpu_families,dinov2,motion_prev_depth,rnn_attn,2,val,population_norm,520,383,137,0.3999999999999999,0,0.6828152693868995,0.8689908348195291,0.6376665205542109,0.3629242819843342,0.9124087591240876,0.26718762863700607
run_cpu_families,dinov2,motion_prev_depth,rnn_attn,2,test,population_norm,639,480,159,0.3999999999999999,0,0.6475759958071279,0.8435574230602008,0.6005699685534591,0.6854166666666667,0.5157232704402516,0.18066603506415027
run_cpu_families,dinov2,motion_prev_depth,rnn_attn,2,test,subject_norm,639,480,159,0.39999999999999997,0,0.717164570230608,0.8802225045418337,0.6454599056603774,0.41041666666666665,0.8805031446540881,0.26588596834129147
run_cpu_families,dinov2,motion_prev_depth,rnn_attn,3,train,population_norm,2020,1489,531,0.1,0,0.9999924113935338,0.9999973013352005,0.9993284083277367,0.9986568166554735,1.0,0.9974515083588326
run_cpu_families,dinov2,motion_prev_depth,rnn_attn,3,val,population_norm,550,405,145,0.1,0,0.6332226479352916,0.7868520079452566,0.6589186888037463,0.6419753086419753,0.6758620689655173,0.2819967849829354
run_cpu_families,dinov2,motion_prev_depth,rnn_attn,3,test,population_norm,641,475,166,0.1,0,0.6647939124920736,0.8654464889361011,0.5889473684210527,0.6778947368421052,0.5,0.1615773328837392
