label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,17983,17984,1675713446.0,1675714007.0,562,561.0
jelly,17984,23807,5824,1675714008.0,1675714189.0,182,181.0
None,23808,24063,256,1675714190.0,1675714197.0,8,7.0
count,24064,26047,1984,1675714198.0,1675714259.0,62,61.0
None,26048,26335,288,1675714260.0,1675714268.0,9,8.0
good,26336,29343,3008,1675714269.0,1675714362.0,94,93.0
None,29344,30367,1024,1675714363.0,1675714394.0,32,31.0
animal,30368,36191,5824,1675714395.0,1675714576.0,182,181.0
None,36192,36831,640,1675714577.0,1675714596.0,20,19.0
prepareSong,36832,37599,768,1675714597.0,1675714620.0,24,23.0
None,37600,39295,1696,1675714621.0,1675714673.0,53,52.0
stroop,39296,43679,4384,1675714674.0,1675714810.0,137,136.0
None,43680,45215,1536,1675714811.0,1675714858.0,48,47.0
arithmetic,45216,50399,5184,1675714859.0,1675715020.0,162,161.0
None,50400,50495,96,1675715021.0,1675715023.0,3,2.0
stress,50496,61599,11104,1675715024.0,1675715370.0,347,346.0
None,61600,62015,416,1675715371.0,1675715383.0,13,12.0
bad,62016,64959,2944,1675715384.0,1675715475.0,92,91.0
None,64960,66761,1802,1675715476.0,1675715532.0,57,56.0
