label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,10495,10496,1675358730.0,1675359057.0,328,327.0
jelly,10496,16319,5824,1675359058.0,1675359239.0,182,181.0
None,16320,16543,224,1675359240.0,1675359246.0,7,6.0
count,16544,18495,1952,1675359247.0,1675359307.0,61,60.0
None,18496,18719,224,1675359308.0,1675359314.0,7,6.0
good,18720,22463,3744,1675359315.0,1675359431.0,117,116.0
None,22464,22879,416,1675359432.0,1675359444.0,13,12.0
animal,22880,28703,5824,1675359445.0,1675359626.0,182,181.0
None,28704,29439,736,1675359627.0,1675359649.0,23,22.0
prepareSong,29440,30111,672,1675359650.0,1675359670.0,21,20.0
None,30112,31839,1728,1675359671.0,1675359724.0,54,53.0
stroop,31840,36543,4704,1675359725.0,1675359871.0,147,146.0
None,36544,37439,896,1675359872.0,1675359899.0,28,27.0
arithmetic,37440,42943,5504,1675359900.0,1675360071.0,172,171.0
None,42944,43039,96,1675360072.0,1675360074.0,3,2.0
stress,43040,53983,10944,1675360075.0,1675360416.0,342,341.0
None,53984,54559,576,1675360417.0,1675360434.0,18,17.0
bad,54560,57823,3264,1675360435.0,1675360536.0,102,101.0
None,57824,59411,1588,1675360537.0,1675360586.0,50,49.0
