label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,11327,11328,1675791124.0,1675791477.0,354,353.0
jelly,11328,17151,5824,1675791478.0,1675791659.0,182,181.0
None,17152,17375,224,1675791660.0,1675791666.0,7,6.0
count,17376,19359,1984,1675791667.0,1675791728.0,62,61.0
None,19360,19647,288,1675791729.0,1675791737.0,9,8.0
good,19648,21375,1728,1675791738.0,1675791791.0,54,53.0
None,21376,23711,2336,1675791792.0,1675791864.0,73,72.0
animal,23712,29535,5824,1675791865.0,1675792046.0,182,181.0
None,29536,30111,576,1675792047.0,1675792064.0,18,17.0
prepareSong,30112,30943,832,1675792065.0,1675792090.0,26,25.0
None,30944,32607,1664,1675792091.0,1675792142.0,52,51.0
stroop,32608,36959,4352,1675792143.0,1675792278.0,136,135.0
None,36960,37759,800,1675792279.0,1675792303.0,25,24.0
arithmetic,37760,43679,5920,1675792304.0,1675792488.0,185,184.0
None,43680,43775,96,1675792489.0,1675792491.0,3,2.0
stress,43776,55039,11264,1675792492.0,1675792843.0,352,351.0
None,55040,55295,256,1675792844.0,1675792851.0,8,7.0
bad,55296,58079,2784,1675792852.0,1675792938.0,87,86.0
None,58080,60773,2694,1675792939.0,1675793023.0,85,84.0
