label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,13983,13984,1675285353.0,1675285789.0,437,436.0
jelly,13984,19807,5824,1675285790.0,1675285971.0,182,181.0
None,19808,20223,416,1675285972.0,1675285984.0,13,12.0
count,20224,22015,1792,1675285985.0,1675286040.0,56,55.0
None,22016,22175,160,1675286041.0,1675286045.0,5,4.0
good,22176,26047,3872,1675286046.0,1675286166.0,121,120.0
None,26048,26399,352,1675286167.0,1675286177.0,11,10.0
animal,26400,32223,5824,1675286178.0,1675286359.0,182,181.0
None,32224,32927,704,1675286360.0,1675286381.0,22,21.0
prepareSong,32928,33631,704,1675286382.0,1675286403.0,22,21.0
None,33632,34687,1056,1675286404.0,1675286436.0,33,32.0
stroop,34688,39807,5120,1675286437.0,1675286596.0,160,159.0
None,39808,40607,800,1675286597.0,1675286621.0,25,24.0
arithmetic,40608,46431,5824,1675286622.0,1675286803.0,182,181.0
None,46432,46527,96,1675286804.0,1675286806.0,3,2.0
stress,46528,57631,11104,1675286807.0,1675287153.0,347,346.0
None,57632,58047,416,1675287154.0,1675287166.0,13,12.0
bad,58048,61951,3904,1675287167.0,1675287288.0,122,121.0
None,61952,62291,340,1675287289.0,1675287299.0,11,10.0
