label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,14015,14016,1675704765.0,1675705202.0,438,437.0
jelly,14016,19839,5824,1675705203.0,1675705384.0,182,181.0
None,19840,20095,256,1675705385.0,1675705392.0,8,7.0
count,20096,22079,1984,1675705393.0,1675705454.0,62,61.0
None,22080,22335,256,1675705455.0,1675705462.0,8,7.0
good,22336,25663,3328,1675705463.0,1675705566.0,104,103.0
None,25664,26431,768,1675705567.0,1675705590.0,24,23.0
animal,26432,32255,5824,1675705591.0,1675705772.0,182,181.0
None,32256,32575,320,1675705773.0,1675705782.0,10,9.0
prepareSong,32576,33599,1024,1675705783.0,1675705814.0,32,31.0
None,33600,35391,1792,1675705815.0,1675705870.0,56,55.0
stroop,35392,39999,4608,1675705871.0,1675706014.0,144,143.0
None,40000,40479,480,1675706015.0,1675706029.0,15,14.0
arithmetic,40480,46399,5920,1675706030.0,1675706214.0,185,184.0
None,46400,46495,96,1675706215.0,1675706217.0,3,2.0
stress,46496,57759,11264,1675706218.0,1675706569.0,352,351.0
None,57760,58015,256,1675706570.0,1675706577.0,8,7.0
bad,58016,61599,3584,1675706578.0,1675706689.0,112,111.0
None,61600,62609,1010,1675706690.0,1675706721.0,32,31.0
