label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,9823,9824,1675695659.0,1675695965.0,307,306.0
jelly,9824,15647,5824,1675695966.0,1675696147.0,182,181.0
None,15648,15871,224,1675696148.0,1675696154.0,7,6.0
count,15872,17855,1984,1675696155.0,1675696216.0,62,61.0
None,17856,18175,320,1675696217.0,1675696226.0,10,9.0
good,18176,21439,3264,1675696227.0,1675696328.0,102,101.0
None,21440,22207,768,1675696329.0,1675696352.0,24,23.0
animal,22208,28031,5824,1675696353.0,1675696534.0,182,181.0
None,28032,28735,704,1675696535.0,1675696556.0,22,21.0
prepareSong,28736,29439,704,1675696557.0,1675696578.0,22,21.0
None,29440,31135,1696,1675696579.0,1675696631.0,53,52.0
stroop,31136,35519,4384,1675696632.0,1675696768.0,137,136.0
None,35520,36735,1216,1675696769.0,1675696806.0,38,37.0
arithmetic,36736,42239,5504,1675696807.0,1675696978.0,172,171.0
None,42240,42335,96,1675696979.0,1675696981.0,3,2.0
stress,42336,53439,11104,1675696982.0,1675697328.0,347,346.0
None,53440,54015,576,1675697329.0,1675697346.0,18,17.0
bad,54016,57279,3264,1675697347.0,1675697448.0,102,101.0
None,57280,58691,1412,1675697449.0,1675697493.0,45,44.0
