label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,12607,12608,1675697952.0,1675698345.0,394,393.0
jelly,12608,18431,5824,1675698346.0,1675698527.0,182,181.0
None,18432,18623,192,1675698528.0,1675698533.0,6,5.0
count,18624,20607,1984,1675698534.0,1675698595.0,62,61.0
None,20608,20799,192,1675698596.0,1675698601.0,6,5.0
good,20800,24287,3488,1675698602.0,1675698710.0,109,108.0
None,24288,24959,672,1675698711.0,1675698731.0,21,20.0
animal,24960,30783,5824,1675698732.0,1675698913.0,182,181.0
None,30784,31519,736,1675698914.0,1675698936.0,23,22.0
prepareSong,31520,32223,704,1675698937.0,1675698958.0,22,21.0
None,32224,33919,1696,1675698959.0,1675699011.0,53,52.0
stroop,33920,38463,4544,1675699012.0,1675699153.0,142,141.0
None,38464,39615,1152,1675699154.0,1675699189.0,36,35.0
arithmetic,39616,45023,5408,1675699190.0,1675699358.0,169,168.0
None,45024,45119,96,1675699359.0,1675699361.0,3,2.0
stress,45120,50623,5504,1675699362.0,1675699533.0,172,171.0
None,50624,61571,10948,1675699534.0,1675699876.0,343,342.0
