label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,14687,14688,1676061016.0,1676061474.0,459,458.0
jelly,14688,20511,5824,1676061475.0,1676061656.0,182,181.0
None,20512,20799,288,1676061657.0,1676061665.0,9,8.0
count,20800,22687,1888,1676061666.0,1676061724.0,59,58.0
None,22688,22879,192,1676061725.0,1676061730.0,6,5.0
good,22880,26623,3744,1676061731.0,1676061847.0,117,116.0
None,26624,27071,448,1676061848.0,1676061861.0,14,13.0
animal,27072,32895,5824,1676061862.0,1676062043.0,182,181.0
None,32896,33439,544,1676062044.0,1676062060.0,17,16.0
prepareSong,33440,34303,864,1676062061.0,1676062087.0,27,26.0
None,34304,35999,1696,1676062088.0,1676062140.0,53,52.0
stroop,36000,40863,4864,1676062141.0,1676062292.0,152,151.0
None,40864,41279,416,1676062293.0,1676062305.0,13,12.0
arithmetic,41280,47103,5824,1676062306.0,1676062487.0,182,181.0
None,47104,47199,96,1676062488.0,1676062490.0,3,2.0
stress,47200,58303,11104,1676062491.0,1676062837.0,347,346.0
None,58304,58879,576,1676062838.0,1676062855.0,18,17.0
bad,58880,61823,2944,1676062856.0,1676062947.0,92,91.0
None,61824,63647,1824,1676062948.0,1676063004.0,57,56.0
