label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,15711,15712,1687868638.0,1687869128.0,491,490.0
jelly,15712,21503,5792,1687869129.0,1687869309.0,181,180.0
None,21504,22015,512,1687869310.0,1687869325.0,16,15.0
baseline,22016,24351,2336,1687869326.0,1687869398.0,73,72.0
None,24352,26495,2144,1687869399.0,1687869465.0,67,66.0
count,26496,28447,1952,1687869466.0,1687869526.0,61,60.0
None,28448,29055,608,1687869527.0,1687869545.0,19,18.0
good,29056,29887,832,1687869546.0,1687869571.0,26,25.0
None,29888,33695,3808,1687869572.0,1687869690.0,119,118.0
animal,33696,39487,5792,1687869691.0,1687869871.0,181,180.0
None,39488,40735,1248,1687869872.0,1687869910.0,39,38.0
stroop,40736,45727,4992,1687869911.0,1687870066.0,156,155.0
None,45728,46655,928,1687870067.0,1687870095.0,29,28.0
prepareSong,46656,47647,992,1687870096.0,1687870126.0,31,30.0
None,47648,50175,2528,1687870127.0,1687870205.0,79,78.0
stress,50176,58783,8608,1687870206.0,1687870474.0,269,268.0
None,58784,59135,352,1687870475.0,1687870485.0,11,10.0
bad,59136,59807,672,1687870486.0,1687870506.0,21,20.0
None,59808,62207,2400,1687870507.0,1687870581.0,75,74.0
