label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,3103,3104,1673366815.0,1673366911.0,97,96.0
jelly,3104,8895,5792,1673366912.0,1673367092.0,181,180.0
None,8896,9183,288,1673367093.0,1673367101.0,9,8.0
count,9184,11071,1888,1673367102.0,1673367160.0,59,58.0
None,11072,11295,224,1673367161.0,1673367167.0,7,6.0
good,11296,15231,3936,1673367168.0,1673367290.0,123,122.0
None,15232,15487,256,1673367291.0,1673367298.0,8,7.0
animal,15488,21247,5760,1673367299.0,1673367478.0,180,179.0
None,21248,21375,128,1673367479.0,1673367482.0,4,3.0
stress,21376,32575,11200,1673367483.0,1673367832.0,350,349.0
None,32576,33759,1184,1673367833.0,1673367869.0,37,36.0
prepareSong,33760,34399,640,1673367870.0,1673367889.0,20,19.0
None,34400,34975,576,1673367890.0,1673367907.0,18,17.0
arithmetic,34976,40799,5824,1673367908.0,1673368089.0,182,181.0
None,40800,41279,480,1673368090.0,1673368104.0,15,14.0
bad,41280,44959,3680,1673368105.0,1673368219.0,115,114.0
None,44960,46397,1438,1673368220.0,1673368264.0,45,44.0
