label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,3327,3328,1673018120.0,1673018223.0,104,103.0
jelly,3328,10623,7296,1673018224.0,1673018451.0,228,227.0
None,10624,10943,320,1673018452.0,1673018461.0,10,9.0
count,10944,12831,1888,1673018462.0,1673018520.0,59,58.0
None,12832,13215,384,1673018521.0,1673018532.0,12,11.0
good,13216,17023,3808,1673018533.0,1673018651.0,119,118.0
None,17024,17183,160,1673018652.0,1673018656.0,5,4.0
animal,17184,22975,5792,1673018657.0,1673018837.0,181,180.0
None,22976,23071,96,1673018838.0,1673018840.0,3,2.0
stress,23072,34303,11232,1673018841.0,1673019191.0,351,350.0
None,34304,35583,1280,1673019192.0,1673019231.0,40,39.0
prepareSong,35584,35999,416,1673019232.0,1673019244.0,13,12.0
None,36000,37023,1024,1673019245.0,1673019276.0,32,31.0
arithmetic,37024,42367,5344,1673019277.0,1673019443.0,167,166.0
None,42368,43231,864,1673019444.0,1673019470.0,27,26.0
bad,43232,46591,3360,1673019471.0,1673019575.0,105,104.0
None,46592,47033,442,1673019576.0,1673019589.0,14,13.0
