label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,11775,11776,1676379537.0,1676379904.0,368,367.0
jelly,11776,17567,5792,1676379905.0,1676380085.0,181,180.0
None,17568,17791,224,1676380086.0,1676380092.0,7,6.0
count,17792,19743,1952,1676380093.0,1676380153.0,61,60.0
None,19744,20383,640,1676380154.0,1676380173.0,20,19.0
good,20384,24095,3712,1676380174.0,1676380289.0,116,115.0
None,24096,24159,64,1676380290.0,1676380291.0,2,1.0
animal,24160,29951,5792,1676380292.0,1676380472.0,181,180.0
None,29952,30527,576,1676380473.0,1676380490.0,18,17.0
prepareSong,30528,31359,832,1676380491.0,1676380516.0,26,25.0
None,31360,33791,2432,1676380517.0,1676380592.0,76,75.0
stroop,33792,38495,4704,1676380593.0,1676380739.0,147,146.0
None,38496,39263,768,1676380740.0,1676380763.0,24,23.0
arithmetic,39264,44895,5632,1676380764.0,1676380939.0,176,175.0
None,44896,45119,224,1676380940.0,1676380946.0,7,6.0
stress,45120,53151,8032,1676380947.0,1676381197.0,251,250.0
None,53152,53823,672,1676381198.0,1676381218.0,21,20.0
bad,53824,57535,3712,1676381219.0,1676381334.0,116,115.0
None,57536,58055,520,1676381335.0,1676381351.0,17,16.0
