label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,10015,10016,1672928023.0,1672928335.0,313,312.0
jelly,10016,13855,3840,1672928336.0,1672928455.0,120,119.0
count,13856,17407,3552,1672928456.0,1672928566.0,111,110.0
None,17408,17727,320,1672928567.0,1672928576.0,10,9.0
good,17728,21599,3872,1672928577.0,1672928697.0,121,120.0
None,21600,21695,96,1672928698.0,1672928700.0,3,2.0
animal,21696,29407,7712,1672928701.0,1672928941.0,241,240.0
None,29408,29535,128,1672928942.0,1672928945.0,4,3.0
stress,29536,40767,11232,1672928946.0,1672929296.0,351,350.0
None,40768,40991,224,1672929297.0,1672929303.0,7,6.0
prepareSong,40992,41983,992,1672929304.0,1672929334.0,31,30.0
None,41984,42975,992,1672929335.0,1672929365.0,31,30.0
arithmetic,42976,48927,5952,1672929366.0,1672929551.0,186,185.0
None,48928,49535,608,1672929552.0,1672929570.0,19,18.0
bad,49536,53407,3872,1672929571.0,1672929691.0,121,120.0
None,53408,54137,730,1672929692.0,1672929714.0,23,22.0
