label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,8543,8544,1676382084.0,1676382350.0,267,266.0
jelly,8544,14335,5792,1676382351.0,1676382531.0,181,180.0
None,14336,14655,320,1676382532.0,1676382541.0,10,9.0
count,14656,16511,1856,1676382542.0,1676382599.0,58,57.0
None,16512,16799,288,1676382600.0,1676382608.0,9,8.0
good,16800,20671,3872,1676382609.0,1676382729.0,121,120.0
None,20672,20927,256,1676382730.0,1676382737.0,8,7.0
animal,20928,26719,5792,1676382738.0,1676382918.0,181,180.0
None,26720,27199,480,1676382919.0,1676382933.0,15,14.0
prepareSong,27200,28095,896,1676382934.0,1676382961.0,28,27.0
None,28096,29951,1856,1676382962.0,1676383019.0,58,57.0
stroop,29952,34591,4640,1676383020.0,1676383164.0,145,144.0
None,34592,35839,1248,1676383165.0,1676383203.0,39,38.0
arithmetic,35840,41151,5312,1676383204.0,1676383369.0,166,165.0
None,41152,41279,128,1676383370.0,1676383373.0,4,3.0
stress,41280,49311,8032,1676383374.0,1676383624.0,251,250.0
None,49312,49919,608,1676383625.0,1676383643.0,19,18.0
bad,49920,53471,3552,1676383644.0,1676383754.0,111,110.0
None,53472,54065,594,1676383755.0,1676383773.0,19,18.0
