label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,4863,4864,1673449643.0,1673449794.0,152,151.0
jelly,4864,10655,5792,1673449795.0,1673449975.0,181,180.0
None,10656,10943,288,1673449976.0,1673449984.0,9,8.0
count,10944,12863,1920,1673449985.0,1673450044.0,60,59.0
None,12864,13183,320,1673450045.0,1673450054.0,10,9.0
good,13184,17119,3936,1673450055.0,1673450177.0,123,122.0
None,17120,17215,96,1673450178.0,1673450180.0,3,2.0
animal,17216,23007,5792,1673450181.0,1673450361.0,181,180.0
stress,23008,34367,11360,1673450362.0,1673450716.0,355,354.0
None,34368,35583,1216,1673450717.0,1673450754.0,38,37.0
prepareSong,35584,36415,832,1673450755.0,1673450780.0,26,25.0
None,36416,36831,416,1673450781.0,1673450793.0,13,12.0
arithmetic,36832,42527,5696,1673450794.0,1673450971.0,178,177.0
None,42528,42751,224,1673450972.0,1673450978.0,7,6.0
bad,42752,46687,3936,1673450979.0,1673451101.0,123,122.0
None,46688,47669,982,1673451102.0,1673451132.0,31,30.0
