label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,10207,10208,1686659157.0,1686659475.0,319,318.0
jelly,10208,15999,5792,1686659476.0,1686659656.0,181,180.0
None,16000,16607,608,1686659657.0,1686659675.0,19,18.0
baseline,16608,20319,3712,1686659676.0,1686659791.0,116,115.0
None,20320,21471,1152,1686659792.0,1686659827.0,36,35.0
count,21472,23423,1952,1686659828.0,1686659888.0,61,60.0
None,23424,26047,2624,1686659889.0,1686659970.0,82,81.0
good,26048,29599,3552,1686659971.0,1686660081.0,111,110.0
None,29600,30559,960,1686660082.0,1686660111.0,30,29.0
animal,30560,36351,5792,1686660112.0,1686660292.0,181,180.0
None,36352,37631,1280,1686660293.0,1686660332.0,40,39.0
stroop,37632,42623,4992,1686660333.0,1686660488.0,156,155.0
None,42624,43583,960,1686660489.0,1686660518.0,30,29.0
prepareSong,43584,44575,992,1686660519.0,1686660549.0,31,30.0
None,44576,47359,2784,1686660550.0,1686660636.0,87,86.0
stress,47360,55391,8032,1686660637.0,1686660887.0,251,250.0
None,55392,56447,1056,1686660888.0,1686660920.0,33,32.0
bad,56448,60319,3872,1686660921.0,1686661041.0,121,120.0
None,60320,61013,694,1686661042.0,1686661063.0,22,21.0
