label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,7487,7488,1687866576.0,1687866809.0,234,233.0
jelly,7488,13279,5792,1687866810.0,1687866990.0,181,180.0
None,13280,14047,768,1687866991.0,1687867014.0,24,23.0
baseline,14048,17823,3776,1687867015.0,1687867132.0,118,117.0
None,17824,18879,1056,1687867133.0,1687867165.0,33,32.0
count,18880,20831,1952,1687867166.0,1687867226.0,61,60.0
None,20832,21087,256,1687867227.0,1687867234.0,8,7.0
good,21088,22559,1472,1687867235.0,1687867280.0,46,45.0
None,22560,25631,3072,1687867281.0,1687867376.0,96,95.0
animal,25632,31423,5792,1687867377.0,1687867557.0,181,180.0
None,31424,33503,2080,1687867558.0,1687867622.0,65,64.0
stroop,33504,38495,4992,1687867623.0,1687867778.0,156,155.0
None,38496,43007,4512,1687867779.0,1687867919.0,141,140.0
stress,43008,51103,8096,1687867920.0,1687868172.0,253,252.0
None,51104,52127,1024,1687868173.0,1687868204.0,32,31.0
bad,52128,54847,2720,1687868205.0,1687868289.0,85,84.0
None,54848,55577,730,1687868290.0,1687868312.0,23,22.0
