label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,6655,6656,1680697311.0,1680697518.0,208,207.0
jelly,6656,12447,5792,1680697519.0,1680697699.0,181,180.0
None,12448,12735,288,1680697700.0,1680697708.0,9,8.0
count,12736,14527,1792,1680697709.0,1680697764.0,56,55.0
None,14528,14911,384,1680697765.0,1680697776.0,12,11.0
good,14912,18687,3776,1680697777.0,1680697894.0,118,117.0
None,18688,19039,352,1680697895.0,1680697905.0,11,10.0
animal,19040,24831,5792,1680697906.0,1680698086.0,181,180.0
None,24832,25215,384,1680698087.0,1680698098.0,12,11.0
prepareSong,25216,26207,992,1680698099.0,1680698129.0,31,30.0
None,26208,28703,2496,1680698130.0,1680698207.0,78,77.0
stroop,28704,32767,4064,1680698208.0,1680698334.0,127,126.0
None,32768,33695,928,1680698335.0,1680698363.0,29,28.0
arithmetic,33696,39007,5312,1680698364.0,1680698529.0,166,165.0
None,39008,39295,288,1680698530.0,1680698538.0,9,8.0
stress,39296,47167,7872,1680698539.0,1680698784.0,246,245.0
None,47168,47775,608,1680698785.0,1680698803.0,19,18.0
bad,47776,51807,4032,1680698804.0,1680698929.0,126,125.0
None,51808,51989,182,1680698930.0,1680698935.0,6,5.0
