label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,17087,17088,1676467185.0,1676467718.0,534,533.0
jelly,17088,22879,5792,1676467719.0,1676467899.0,181,180.0
None,22880,23263,384,1676467900.0,1676467911.0,12,11.0
count,23264,25055,1792,1676467912.0,1676467967.0,56,55.0
None,25056,25343,288,1676467968.0,1676467976.0,9,8.0
good,25344,28735,3392,1676467977.0,1676468082.0,106,105.0
None,28736,29439,704,1676468083.0,1676468104.0,22,21.0
animal,29440,35231,5792,1676468105.0,1676468285.0,181,180.0
None,35232,35743,512,1676468286.0,1676468301.0,16,15.0
prepareSong,35744,36735,992,1676468302.0,1676468332.0,31,30.0
None,36736,39199,2464,1676468333.0,1676468409.0,77,76.0
stroop,39200,43775,4576,1676468410.0,1676468552.0,143,142.0
None,43776,46207,2432,1676468553.0,1676468628.0,76,75.0
arithmetic,46208,50239,4032,1676468629.0,1676468754.0,126,125.0
None,50240,50463,224,1676468755.0,1676468761.0,7,6.0
stress,50464,58559,8096,1676468762.0,1676469014.0,253,252.0
None,58560,59103,544,1676469015.0,1676469031.0,17,16.0
bad,59104,62975,3872,1676469032.0,1676469152.0,121,120.0
None,62976,63161,186,1676469153.0,1676469158.0,6,5.0
